Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
220905_1,VF092722_092602,Day1_Trial1,Chamber1,,,White House Light,31,270.867,90.29,90.29,1.96,0,162,APOE44,male,Sedentary,HFD,45,20.2
220905_2,VF092722_092602,Day1_Trial1,Chamber2,,,White House Light,49,201.667,67.22,67.22,10.54,0,919,APOE44,female,Sedentary,HFD,37,20.2
220905_3,VF092722_095352,Day1_Trial2,Chamber1,,,White House Light,20,279.1,93.03,93.03,1.89,0,248,APOE44,male,Sedentary,HFD,36,20.2
220905_4,VF092722_095352,Day1_Trial2,Chamber2,,,White House Light,22,292.7,97.57,97.57,0.85,0,64,APOE33HN,male,Exercise,Control,34,18.06666667
220905_5,VF092722_100340,Day1_Trial3,Chamber1,,,White House Light,12,288.033,96.01,96.01,0.97,0,204,APOE33HN,male,Exercise,Control,32,18.06666667
220905_6,VF092722_100340,Day1_Trial3,Chamber2,,,White House Light,40,230.733,76.91,76.91,6.3,0,386,APOE33HN,male,Exercise,Control,33,18.06666667
220905_7,VF092722_101235,Day1_Trial4,Chamber1,,,White House Light,49,252.3,84.1,84.1,3.71,0,228,APOE44,male,Sedentary,HFD,45,20.2
220905_8,VF092722_101235,Day1_Trial4,Chamber2,,,White House Light,21,281.033,93.68,93.68,1.78,0,348,APOE44,female,Sedentary,HFD,37,20.2
220905_9,VF092722_102132,Day1_Trial5,Chamber1,,,White House Light,5,298.1,99.37,99.37,0.26,0,81,APOE44,male,Sedentary,HFD,36,20.2
220905_10,VF092722_102132,Day1_Trial5,Chamber2,,,White House Light,27,290.167,96.72,96.72,0.75,0,42,APOE22HN,male,Sedentary,Control,32,20.4
220905_11,VF092722_103056,Day1_Trial6,Chamber1,,,White House Light,5,297.967,99.32,99.32,0.18,0,34,APOE22HN,male,Sedentary,Control,32,20.4
220905_12,VF092722_103056,Day1_Trial6,Chamber2,,,White House Light,20,285.633,95.21,95.21,0.88,0,80,APOE22HN,male,Sedentary,Control,33,20.4
220905_13,VF092722_104059,Day1_Trial7,Chamber1,,,White House Light,7,298.467,99.49,99.49,0.15,0,64,APOE33,female,Exercise,Control,,17.5
220905_14,VF092722_104059,Day1_Trial7,Chamber2,,,White House Light,13,292.467,97.49,97.49,0.71,0,266,APOE33,female,Exercise,Control,,17.76666667
220905_15,VF092722_105015,Day1_Trial8,Chamber1,,,White House Light,12,294.4,98.13,98.13,0.35,0,82,APOE33,female,Exercise,Control,,17.76666667
220905_16,VF092722_105015,Day1_Trial8,Chamber2,,,White House Light,15,294.033,98.01,98.01,0.36,0,43,APOE33,female,Exercise,Control,,17.5
220905_17,VF092722_105958,Day1_Trial9,Chamber1,,,White House Light,6,295.333,98.44,98.44,0.39,0,53,APOE33,female,Exercise,Control,,17.5
220905_18,VF092722_105958,Day1_Trial9,Chamber2,,,White House Light,37,275.367,91.79,91.79,2.36,0,150,APOE44HN,male,Sedentary,Control,,18.26666667
220905_19,VF092722_110913,Day1_Trial10,Chamber1,,,White House Light,19,280.867,93.62,93.62,1.23,0,77,APOE44HN,male,Sedentary,Control,,18.26666667
220905_20,VF092722_110913,Day1_Trial10,Chamber2,,,White House Light,57,207.5,69.17,69.17,10.23,0,517,APOE44HN,male,Sedentary,Control,,18.2
220905_21,VF092722_111824,Day1_Trial11,Chamber1,,,White House Light,3,299,99.67,99.67,0.05,0,34,APOE44,female,Exercise,Control,,17.5
220905_22,VF092722_111824,Day1_Trial11,Chamber2,,,White House Light,31,264.533,88.18,88.18,2.72,0,327,APOE44,female,Exercise,Control,,17.5
220905_23,VF092722_112727,Day1_Trial12,Chamber1,,,White House Light,11,295.333,98.44,98.44,0.51,0,112,APOE44,male,Exercise,Control,,17.3
220905_24,VF092722_112727,Day1_Trial12,Chamber2,,,White House Light,20,279.3,93.1,93.1,1.39,0,265,APOE44,male,Exercise,Control,,17.3
220905_25,VF092722_113619,Day1_Trial13,Chamber1,,,White House Light,13,290.6,96.87,96.87,1.49,0,244,APOE44,male,Exercise,Control,,17.3
220905_26,VF092722_113619,Day1_Trial13,Chamber2,,,White House Light,31,271.533,90.51,90.51,1.7,0,155,APOE33HN,female,Exercise,Control,,18.03333333
220905_27,VF092722_114529,Day1_Trial14,Chamber1,,,White House Light,15,293.767,97.92,97.92,0.78,0,223,APOE33HN,female,Exercise,Control,,18.03333333
220905_28,VF092722_114529,Day1_Trial14,Chamber2,,,White House Light,62,239.733,79.91,79.91,4.86,0,260,APOE33HN,female,Exercise,Control,,18.03333333
220905_29,VF092722_115357,Day1_Trial15,Chamber1,,,White House Light,43,264.867,88.29,88.29,3.49,0,283,APOE33HN,female,Exercise,Control,,18.03333333
230508_1,VF053123_105857,Day1_Trial1,Chamber1,,,White House Light,16,292.667,97.56,97.56,1.04,0,287,KO,female,Sedentary,HFD,30,15.46666667
230508_2,VF053123_105857,Day1_Trial1,Chamber2,,,White House Light,41,289.6,96.53,96.53,0.82,0,175,KO,female,Sedentary,HFD,30,15.46666667
230508_3,VF053123_110821,Day1_Trial2,Chamber1,,,White House Light,2,299.967,99.99,99.99,0.01,0,35,KO,female,Sedentary,HFD,28,15.46666667
230508_4,VF053123_110821,Day1_Trial2,Chamber2,,,White House Light,59,287.867,95.96,95.96,1.08,0,163,KO,female,Sedentary,HFD,26,15.6
230508_5,VF053123_111629,Day1_Trial3,Chamber1,,,White House Light,29,290.333,96.78,96.78,0.97,0,216,KO,female,Sedentary,HFD,32,15.6
230508_6,VF053123_111629,Day1_Trial3,Chamber2,,,White House Light,34,296.467,98.82,98.82,0.53,0,221,KO,male,Sedentary,Control,32,19.73333333
230508_7,VF053123_112448,Day1_Trial4,Chamber1,,,White House Light,48,270.533,90.18,90.18,3.84,0,411,KO,male,Sedentary,Control,31,19.73333333
230508_8,VF053123_112448,Day1_Trial4,Chamber2,,,White House Light,21,296.867,98.96,98.96,0.31,0,183,KO,male,Sedentary,HFD,39,19.16666667
230508_9,VF053123_113303,Day1_Trial5,Chamber1,,,White House Light,13,293.5,97.83,97.83,0.65,0,119,KO,male,Sedentary,HFD,36,19.16666667
230508_10,VF053123_113303,Day1_Trial5,Chamber2,,,White House Light,75,273.9,91.3,91.3,2.9,0,452,KO,male,Sedentary,HFD,32,19.16666667
230508_11,VF053123_114116,Day1_Trial6,Chamber1,,,White House Light,60,249.567,83.19,83.19,7.36,0,324,KO,female,Sedentary,HFD,27,19.43333333
230508_12,VF053123_114116,Day1_Trial6,Chamber2,,,White House Light,123,223.433,74.48,74.48,22.2,0,35585,KO,female,Sedentary,HFD,,19.43333333
230508_13,VF053123_114945,Day1_Trial7,Chamber1,,,White House Light,12,295,98.33,98.33,0.8,0,247,KO,female,Sedentary,HFD,34,19.43333333
230508_14,VF053123_114945,Day1_Trial7,Chamber2,,,White House Light,44,280,93.33,93.33,6.05,0,32788,KO,female,Sedentary,HFD,29,19.43333333
230508_15,VF053123_115800,Day1_Trial8,Chamber1,,,White House Light,39,281.867,93.96,93.96,1.93,0,120,KO,female,Sedentary,HFD,27,19.03333333
230508_16,VF053123_115800,Day1_Trial8,Chamber2,,,White House Light,64,288.433,96.14,96.14,0.91,0,279,KO,male,Sedentary,HFD,30,19.03333333
230508_17,VF053123_120704,Day1_Trial9,Chamber1,,,White House Light,19,282.533,94.18,94.18,2.16,0,618,APOE44HN,male,Sedentary,Control,31,19.06666667
230508_18,VF053123_120704,Day1_Trial9,Chamber2,,,White House Light,35,294.4,98.13,98.13,0.5,0,132,APOE44HN,male,Sedentary,Control,28,19.06666667
230508_19,VF053123_121524,Day1_Trial10,Chamber1,,,White House Light,8,297.967,99.32,99.32,0.18,0,54,APOE44HN,male,Sedentary,Control,30,18.23333333
230410_1,VF050223_100533,Day1_Trial1,Chamber1,,,White House Light,28,287.8,95.93,95.93,1.37,0,121,APOE22,male,Sedentary,HFD,36,19.76666667
230410_2,VF050223_100533,Day1_Trial1,Chamber2,,,White House Light,35,292.367,97.46,97.46,0.65,0,163,APOE33,male,Sedentary,HFD,42,19.4
230410_3,VF050223_101453,Day1_Trial2,Chamber1,,,White House Light,8,297.533,99.18,99.18,0.27,0,113,APOE33,female,Sedentary,HFD,41,19.4
230410_4,VF050223_101453,Day1_Trial2,Chamber2,,,White House Light,62,292.567,97.52,97.52,0.7,0,101,APOE33,female,Sedentary,HFD,28,19.4
230410_5,VF050223_102315,Day1_Trial3,Chamber1,,,White House Light,57,252.1,84.03,84.03,8.1,0,389,APOE33,female,Sedentary,HFD,43,18.26666667
230410_6,VF050223_102315,Day1_Trial3,Chamber2,,,White House Light,22,293.267,97.76,97.76,0.34,0,90,APOE33,female,Sedentary,HFD,30,18.26666667
230410_7,VF050223_103121,Day1_Trial4,Chamber1,,,White House Light,14,294.4,98.13,98.13,0.59,0,146,APOE33,female,Sedentary,HFD,39,18.26666667
230410_8,VF050223_103121,Day1_Trial4,Chamber2,,,White House Light,50,292.1,97.37,97.37,0.92,0,164,APOE22HN,male,Sedentary,HFD,34,21.33333333
230410_9,VF050223_104001,Day1_Trial5,Chamber1,,,White House Light,14,294.833,98.28,98.28,0.49,0,113,APOE22HN,female,Sedentary,HFD,52,19.7
230410_10,VF050223_104001,Day1_Trial5,Chamber2,,,White House Light,34,296,98.67,98.67,0.27,0,127,APOE33HN,male,Sedentary,HFD,,22
