Animal ID,context_memory_day1_freezing,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,day0_sound1_freezing,day0_sound2_freezing,day0_sound3_freezing,learning_slope_sound1_to_3,learning_intercept,learning_r,learning_p,learning_mean_sound1_to_3,learning_auc_sound1_to_3,learning_delta_sound3_minus_sound1,day2_acclimation_freezing,day2_cstone_freezing,day2_exploration_freezing,cue_memory_delta_cstone_minus_acclimation,cue_memory_delta_cstone_minus_exploration,baseline_day0_sound1_freezing,baseline_day2_acclimation_freezing,PHENO_learning,PHENO_context_memory,PHENO_cue_memory,PHENO_cue_memory_vs_exploration
211122_28,65.06,APOE22HN,female ,Sedentary,Control,26.0,22.93,0.0,7.33,56.22,28.11,-35.03666666666666,0.9197340088150849,0.25680859145461504,21.183333333333334,35.44,56.22,18.37,35.43,6.01,17.06,29.42,0.0,18.37,28.11,65.06,17.06,29.42
211122_3,99.64,APOE22HN,female ,Sedentary,HFD,39.0,14.33,17.0,63.0,82.0,32.5,-11.0,0.9724264752546519,0.1498456935535738,54.0,112.5,65.0,13.48,17.02,4.19,3.539999999999999,12.829999999999998,17.0,13.48,32.5,99.64,3.539999999999999,12.829999999999998
211122_4,62.34,APOE22HN,female ,Sedentary,HFD,34.0,14.2,0.0,0.0,39.11,19.555,-26.07333333333333,0.8660254037844386,0.3333333333333334,13.036666666666667,19.555,39.11,1.11,8.49,4.19,7.38,4.3,0.0,1.11,19.555,62.34,7.38,4.3
211122_5,85.73,APOE22HN,female ,Sedentary,HFD,32.0,14.6,1.56,53.33,56.78,27.61,-17.996666666666663,0.8925602140645876,0.29781392804422846,37.223333333333336,82.5,55.22,13.76,41.35,3.29,27.590000000000003,38.06,1.56,13.76,27.61,85.73,27.590000000000003,38.06
211122_6,65.91,APOE22HN,female ,Sedentary,HFD,38.0,14.6,0.0,39.78,48.11,24.055,-18.813333333333333,0.9355827743076139,0.22974998852743617,29.296666666666667,63.835,48.11,2.09,27.3,2.68,25.21,24.62,0.0,2.09,24.055,65.91,25.21,24.62
211122_7,93.72,APOE22HN,female ,Sedentary,HFD,45.0,14.5,7.67,74.78,86.22,39.275,-22.32666666666666,0.9255180556838154,0.2472599617441635,56.223333333333336,121.725,78.55,20.33,42.77,10.92,22.440000000000005,31.85,7.67,20.33,39.275,93.72,22.440000000000005,31.85
211122_8,56.04,APOE22HN,female ,Sedentary,HFD,33.0,14.5,0.0,4.22,52.56,26.28,-33.63333333333334,0.8998876406729818,0.28729664407531125,18.926666666666666,30.5,52.56,3.0,29.56,2.28,26.56,27.279999999999998,0.0,3.0,26.28,56.04,26.56,27.279999999999998
211122_9,99.97,APOE22HN,male,Sedentary,Control,29.0,14.63,41.22,92.56,72.56,15.670000000000002,37.44,0.6055362277593228,0.5859173522479381,68.78,149.45,31.340000000000003,69.15,52.36,10.46,-16.790000000000006,41.9,41.22,69.15,15.670000000000002,99.97,-16.790000000000006,41.9
220307_1,94.42,APOE33HN,female ,Sedentary,Control,32.0,20.83,18.67,27.78,88.44,34.885,-24.806666666666665,0.9198073215363386,0.25668966781209096,44.96333333333333,81.33500000000001,69.77,8.76,24.62,3.79,15.860000000000001,20.830000000000002,18.67,8.76,34.885,94.42,15.860000000000001,20.830000000000002
220307_10,99.97,APOE22HN,female ,Sedentary,Control,26.0,19.47,14.33,22.44,89.33,37.5,-32.96666666666667,0.9110710718492008,0.2705134679504918,42.03333333333333,74.27,75.0,5.02,31.84,2.76,26.82,29.08,14.33,5.02,37.5,99.97,26.82,29.08
220307_11,92.3,APOE22HN,female ,Sedentary,Control,21.0,19.47,0.0,21.0,40.56,20.28,-20.040000000000003,0.9997899894971591,0.013047377530236328,20.52,41.28,40.56,20.78,34.5,6.94,13.719999999999999,27.56,0.0,20.78,20.28,92.3,13.719999999999999,27.56
220307_12,95.93,APOE22HN,female ,Sedentary,Control,26.0,19.47,13.67,64.78,62.11,24.22,-1.586666666666666,0.8418900718681016,0.3628861329830589,46.85333333333333,102.67,48.44,6.69,30.09,3.06,23.4,27.03,13.67,6.69,24.22,95.93,23.4,27.03
220307_13,99.43,APOE22HN,female ,Sedentary,Control,28.0,19.47,0.0,0.0,43.33,21.665,-28.886666666666663,0.8660254037844386,0.3333333333333334,14.443333333333333,21.665,43.33,0.46,5.52,2.56,5.06,2.9599999999999995,0.0,0.46,21.665,99.43,5.06,2.9599999999999995
220307_14,99.03,APOE33HN,male,Sedentary,Control,33.0,21.33,16.0,31.67,85.22,34.61,-24.92333333333334,0.9535388228228612,0.19482120286121563,44.29666666666666,82.28,69.22,27.57,24.74,8.27,-2.830000000000002,16.47,16.0,27.57,34.61,99.03,-2.830000000000002,16.47
220307_15,96.46,APOE33HN,male,Sedentary,Control,32.0,21.33,0.0,0.0,46.78,23.39,-31.186666666666667,0.8660254037844387,0.33333333333333326,15.593333333333334,23.39,46.78,44.07,22.41,8.77,-21.66,13.64,0.0,44.07,23.39,96.46,-21.66,13.64
